GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clines-api,br.com.caelum.clines.shared.infra,GlobalExceptionHandler,85,29,0,0,25,9,5,4,5,4
clines-api,br.com.caelum.clines.shared.infra,ErrorView,14,20,0,0,3,4,2,3,2,3
clines-api,br.com.caelum.clines.shared.infra,ErrorView.ErrorMessage,4,9,0,0,1,2,1,2,1,2
clines-api,br.com.caelum.clines.shared.infra,ErrorView.FieldErrorMessage,16,0,0,0,6,0,3,0,3,0
clines-api,br.com.caelum.clines,ClinesApiApplication,5,3,0,0,2,1,1,1,1,1
clines-api,br.com.caelum.clines.api.aircraft,AircraftController,18,12,0,0,4,2,2,2,2,2
clines-api,br.com.caelum.clines.api.aircraft,AircraftViewMapper,0,13,0,0,0,3,0,2,0,2
clines-api,br.com.caelum.clines.api.aircraft,AircraftForm,145,19,30,0,2,7,23,4,8,4
clines-api,br.com.caelum.clines.api.aircraft,AircraftView,106,15,22,0,1,3,17,3,6,3
clines-api,br.com.caelum.clines.api.aircraft,AircraftService,41,48,0,0,7,4,3,4,3,4
clines-api,br.com.caelum.clines.api.aircraft,AircraftFormMapper,0,12,0,0,0,2,0,2,0,2
clines-api,br.com.caelum.clines.api.aircraftmodels,AircraftModelForm,72,9,14,0,2,4,13,2,6,2
clines-api,br.com.caelum.clines.api.aircraftmodels,AircraftModelFormMapper,0,9,0,0,0,2,0,2,0,2
clines-api,br.com.caelum.clines.api.aircraftmodels,AircraftModelService,5,64,0,0,0,9,1,5,1,5
clines-api,br.com.caelum.clines.api.aircraftmodels,AircraftModelViewMapper,0,15,0,0,0,4,0,2,0,2
clines-api,br.com.caelum.clines.api.aircraftmodels,AircraftModelView,106,15,22,0,1,3,17,3,6,3
clines-api,br.com.caelum.clines.api.aircraftmodels,AircraftModelController,24,6,0,0,5,1,3,1,3,1
clines-api,br.com.caelum.clines.shared.domain,Flight,15,44,0,0,5,9,5,4,5,4
clines-api,br.com.caelum.clines.shared.domain,Airport,18,15,0,0,3,6,3,3,3,3
clines-api,br.com.caelum.clines.shared.domain,Country,6,2804,0,0,0,262,1,5,1,5
clines-api,br.com.caelum.clines.shared.domain,Aircraft,12,21,0,0,1,8,1,5,1,5
clines-api,br.com.caelum.clines.shared.domain,Location,32,42,6,0,5,11,5,7,2,7
clines-api,br.com.caelum.clines.shared.domain,PromotionalCode,0,61,0,0,0,15,0,9,0,9
clines-api,br.com.caelum.clines.shared.domain,User,18,24,0,0,2,9,2,5,2,5
clines-api,br.com.caelum.clines.shared.domain,AircraftModel,87,29,21,1,0,8,13,6,2,6
clines-api,br.com.caelum.clines.shared.domain,Waypoint,18,24,0,0,2,9,2,5,2,5
clines-api,br.com.caelum.clines.shared.util,StringNormalizer,0,5,0,0,0,1,0,1,0,1
clines-api,br.com.caelum.clines.api.promotionalcodes,PromotionalCodeFormMapper,0,18,0,0,0,7,0,2,0,2
clines-api,br.com.caelum.clines.api.promotionalcodes,PromotionalCodeService,0,34,0,0,0,6,0,3,0,3
clines-api,br.com.caelum.clines.api.promotionalcodes,PromotionalCodeController,0,20,0,0,0,5,0,2,0,2
clines-api,br.com.caelum.clines.api.promotionalcodes,PromotionalCodeForm,0,33,0,0,0,6,0,6,0,6
clines-api,br.com.caelum.clines.api.users,UserForm,146,21,30,0,2,4,23,4,8,4
clines-api,br.com.caelum.clines.api.users,UserFormMapper,0,13,0,0,0,2,0,2,0,2
